"","code","date","value","uname","tcode"
"365","JPM366_EMBI366",1995-10-12,971,"",NA
"366","JPM366_EMBI366",1995-10-13,966,"",NA
"367","JPM366_EMBI366",1995-10-16,948,"",NA
"368","JPM366_EMBI366",1995-10-17,950,"",NA
"369","JPM366_EMBI366",1995-10-18,958,"",NA
"370","JPM366_EMBI366",1995-10-19,958,"",NA
"371","JPM366_EMBI366",1995-10-20,959,"",NA
"372","JPM366_EMBI366",1995-10-23,968,"",NA
"373","JPM366_EMBI366",1995-10-24,969,"",NA
"374","JPM366_EMBI366",1995-10-25,986,"",NA
"375","JPM366_EMBI366",1995-10-26,1017,"",NA
"376","JPM366_EMBI366",1995-10-27,1015,"",NA
"377","JPM366_EMBI366",1995-10-30,1009,"",NA
"378","JPM366_EMBI366",1995-10-31,1021,"",NA
"379","JPM366_EMBI366",1995-11-01,1028,"",NA
"380","JPM366_EMBI366",1995-11-02,1033,"",NA
"381","JPM366_EMBI366",1995-11-03,1036,"",NA
"382","JPM366_EMBI366",1995-11-06,1058,"",NA
"383","JPM366_EMBI366",1995-11-07,1077,"",NA
"384","JPM366_EMBI366",1995-11-08,1088,"",NA
"385","JPM366_EMBI366",1995-11-09,1091,"",NA
"386","JPM366_EMBI366",1995-11-10,1110,"",NA
"387","JPM366_EMBI366",1995-11-13,1128,"",NA
"388","JPM366_EMBI366",1995-11-14,1116,"",NA
"389","JPM366_EMBI366",1995-11-15,1114,"",NA
"390","JPM366_EMBI366",1995-11-16,1074,"",NA
"391","JPM366_EMBI366",1995-11-17,1055,"",NA
"392","JPM366_EMBI366",1995-11-20,1084,"",NA
"393","JPM366_EMBI366",1995-11-21,1076,"",NA
"394","JPM366_EMBI366",1995-11-22,1069,"",NA
"395","JPM366_EMBI366",1995-11-24,1066,"",NA
"396","JPM366_EMBI366",1995-11-27,1067,"",NA
"397","JPM366_EMBI366",1995-11-28,1064,"",NA
"398","JPM366_EMBI366",1995-11-29,1035,"",NA
"399","JPM366_EMBI366",1995-11-30,1020,"",NA
"400","JPM366_EMBI366",1995-12-01,1026,"",NA
"401","JPM366_EMBI366",1995-12-04,1016,"",NA
"402","JPM366_EMBI366",1995-12-05,1031,"",NA
"403","JPM366_EMBI366",1995-12-06,1019,"",NA
